,correct word,misspelled word,total edit distance,number of words with error,close change,changes,none word
0,سال بعد,سال عد,1.0,1.0,0.0,"[[], [1]]",False
1,سال بعد,سال لبعد,1.0,1.0,1.0,"[[], [2]]",True
2,سال بعد,ثسچل بعد,2.0,1.0,0.0,"[[2, 0], []]",True
3,سال بعد,سال یبد,2.0,1.0,1.0,"[[], [2, 1]]",True
4,سال بعد,سذل ژبعد,2.0,2.0,0.0,"[[0], [2]]",True
5,سال بعد,شال یعد,2.0,2.0,1.0,"[[0], [0]]",False
6,سال بعد,سال ک,3.0,1.0,0.0,"[[], [1, 0, 1]]",False
7,سال بعد,یس بعد,3.0,1.0,1.0,"[[2, 1, 1], []]",False
8,سال بعد,نسنال صبعد,3.0,2.0,0.0,"[[2, 2], [2]]",True
9,سال بعد,ستال بغعید,3.0,2.0,1.0,"[[2], [2, 2]]",True
10,خواهند گرفت,خواند گرفت,1.0,1.0,0.0,"[[1], []]",False
11,خواهند گرفت,خواهند گزفت,1.0,1.0,1.0,"[[], [0]]",True
12,خواهند گرفت,خواهند گرح,2.0,1.0,0.0,"[[], [0, 1]]",True
13,خواهند گرفت,هخواهتد گرفت,2.0,1.0,1.0,"[[2, 0], []]",True
14,خواهند گرفت,خواههد گرسفت,2.0,2.0,0.0,"[[0], [2]]",True
15,خواهند گرفت,خواند کرفت,2.0,2.0,1.0,"[[1], [0]]",False
16,خواهند گرفت,خواهند غرپ,3.0,1.0,0.0,"[[], [0, 0, 1]]",True
17,خواهند گرفت,خواهند کگزرفآ,3.0,1.0,1.0,"[[], [2, 2, 0]]",True
18,خواهند گرفت,صواهدند گفت,3.0,2.0,0.0,"[[0, 2], [1]]",True
19,خواهند گرفت,خواهمند گرقفآت,3.0,2.0,1.0,"[[2], [2, 2]]",True
20,می‌شود ولی,می‌شود وی,1.0,1.0,0.0,"[[], [1]]",False
21,می‌شود ولی,می‌شو ولی,1.0,1.0,1.0,"[[1], []]",False
22,می‌شود ولی,می‌شود ملم,2.0,1.0,0.0,"[[], [0, 0]]",True
23,می‌شود ولی,مس‌شدد ولی,2.0,1.0,1.0,"[[0, 0], []]",True
24,می‌شود ولی,می‌شکد وژی,2.0,2.0,0.0,"[[0], [0]]",True
25,می‌شود ولی,م‌شود والی,2.0,2.0,1.0,"[[1], [2]]",True
26,می‌شود ولی,مضی‌شنو ولی,3.0,1.0,0.0,"[[2, 2, 1], []]",True
27,می‌شود ولی,‌سشود ولی,3.0,1.0,1.0,"[[1, 1, 2], []]",True
28,می‌شود ولی,می‌شوع سولص,3.0,2.0,0.0,"[[0], [2, 0]]",True
29,می‌شود ولی,ی‌شوید لی,3.0,2.0,1.0,"[[1, 2], [1]]",True
30,وزیر بهداشت,وزتر بهداشت,1.0,1.0,0.0,"[[0], []]",True
31,وزیر بهداشت,وزیر بهدتشت,1.0,1.0,1.0,"[[], [0]]",True
32,وزیر بهداشت,وزطا بهداشت,2.0,1.0,0.0,"[[0, 0], []]",True
33,وزیر بهداشت,وزیر بهدلاشآ,2.0,1.0,1.0,"[[], [2, 0]]",True
34,وزیر بهداشت,جوزیر بهداشژت,2.0,2.0,0.0,"[[2], [2]]",True
35,وزیر بهداشت,زیر بهداش,2.0,2.0,1.0,"[[1], [1]]",True
36,وزیر بهداشت,خظر بهداشت,3.0,1.0,0.0,"[[0, 0, 1], []]",False
37,وزیر بهداشت,وزیر هذتشت,3.0,1.0,1.0,"[[], [1, 0, 0]]",True
38,وزیر بهداشت,وزیپر بدشت,3.0,2.0,0.0,"[[2], [1, 1]]",True
39,وزیر بهداشت,وزسر بهلشت,3.0,2.0,1.0,"[[0], [1, 0]]",True
40,دیگر نیز,حدیگر نیز,1.0,1.0,0.0,"[[2], []]",True
41,دیگر نیز,دیر نیز,1.0,1.0,1.0,"[[1], []]",False
42,دیگر نیز,دیگر چزز,2.0,1.0,0.0,"[[], [0, 0]]",True
43,دیگر نیز,ذدیگذ نیز,2.0,1.0,1.0,"[[2, 0], []]",True
44,دیگر نیز,ایگر نیث,2.0,2.0,0.0,"[[0], [0]]",True
45,دیگر نیز,یگر نیضز,2.0,2.0,1.0,"[[1], [2]]",True
46,دیگر نیز,یغگنر نیز,3.0,1.0,0.0,"[[1, 2, 2], []]",True
47,دیگر نیز,دیگر س,3.0,1.0,1.0,"[[], [1, 0, 1]]",False
48,دیگر نیز,دییگر نمی,3.0,2.0,0.0,"[[2], [2, 1]]",True
49,دیگر نیز,دکر یز,3.0,2.0,1.0,"[[1, 0], [1]]",True
50,اعلام کرده,علام کرده,1.0,1.0,0.0,"[[1], []]",False
51,اعلام کرده,اعللم کرده,1.0,1.0,1.0,"[[0], []]",True
52,اعلام کرده,اعلام لصده,2.0,1.0,0.0,"[[], [0, 0]]",True
53,اعلام کرده,اهعلاک کرده,2.0,1.0,1.0,"[[2, 0], []]",True
54,اعلام کرده,ادعلام کره,2.0,2.0,0.0,"[[2], [1]]",True
55,اعلام کرده,اعاام کردخه,2.0,2.0,1.0,"[[0], [2]]",True
56,اعلام کرده,اثاغ کرده,3.0,1.0,0.0,"[[0, 1, 0], []]",True
57,اعلام کرده,اعلام گد,3.0,1.0,1.0,"[[], [0, 1, 1]]",True
58,اعلام کرده,علا کره,3.0,2.0,0.0,"[[1, 1], [1]]",False
59,اعلام کرده,لاعلم کرذده,3.0,2.0,1.0,"[[2, 1], [2]]",True
